title,location,price
"<h3 itemprop=""name"">Clean Fully Serviced 3 Bedroom Apartment</h3>",Lekki,"2,800,000"
"<h3 itemprop=""name"">American Standard Serviced 3bedroom Flat With Room Bq</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">3 Bedroom In Divine Homes In Thomas Estates Ajah</h3>",Ajah,"1,500,000"
"<h3 itemprop=""name"">Clean 3bedroom Flat</h3>",Ketu,"700,000"
"<h3 itemprop=""name"">Magnificent 3 Bedroom Flat With Excellent Facilities</h3>",Lekki,"800,000"
"<h3 itemprop=""name"">3 Bedroom Apartment</h3>",Lekki,"2,000,000"
"<h3 itemprop=""name"">Three (3) Bedroom Flat</h3>",VI,"3,500,000"
"<h3 itemprop=""name"">Very Lovely 3 Bedroom Flat</h3>",Surulere,"1,200,000"
"<h3 itemprop=""name"">Luxury 3 Bedroom Flat With 1 Room Bq</h3>",Lekki,"3,000,000"
"<h3 itemprop=""name"">3 Bedroom Flat</h3>",Lekki,"2,300,000"
"<h3 itemprop=""name"">A Serviced Three 3 Bedroom With Bq, Pool,gym, 24hrs Light</h3>",Ikoyi,"5,000,000"
"<h3 itemprop=""name"">3 Bedrooms Flat</h3>",Maryland,"2,000,000"
"<h3 itemprop=""name"">3 Bedroom Luxury Apartment With 1 Room Servant Quarter</h3>",VI,"12,000,000"
"<h3 itemprop=""name"">Three Bedroom Flat</h3>",Ajah,"1,400,000"
"<h3 itemprop=""name"">Premium 3 Bedroom Highrise Apartment</h3>",Ikoyi,"8,000,000"
"<h3 itemprop=""name"">Upscale 3 Bedroom Premium Apartment</h3>",Ikoyi,"7,500,000"
"<h3 itemprop=""name"">Beautiful 3 Bedroom Apartment</h3>",Ikoyi,"8,500,000"
"<h3 itemprop=""name"">Standard 3 Bedroom Flat With Room Bq Upstairs, 2 Flats In The Compound</h3>",Lekki,"3,200,000"
"<h3 itemprop=""name"">Decent 3 Bedroom Flat With All Rooms Ensuite</h3>",Ikeja,"900,000"
"<h3 itemprop=""name"">Neatly Finished 3 Bedroom Apartment In A Block Of Flat, Only 4 Occupant</h3>",Ajah,"1,000,000"
"<h3 itemprop=""name"">Very Decent 3 Bedroom Flat With Private Compound</h3>",Gbagada,"1,400,000"
